Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Views,Reach,Likes,Shares,Follows,Comments,Saves,WeekDay,Time
TrilliumTrading,"Strong partnerships create meaningful opportunities.

We hosted students from @futuresandoptions at our NYC office, where they heard from firm leadership, toured the trading floor, and shadowed traders to experience the desk in real time.

A reflection of our ongoing commitment to education and our partnership with Futures and Options.

#TrilliumTrading #FuturesAndOptions #Trading #Finance #Careers",0,4/15/2026 10:38,https://www.instagram.com/p/DXKTZlHkcJt/,IG carousel,,Lifetime,1075,441,27,0,0,0,4,Wednesday,10:30:00 AM
TrilliumTrading,"What can traders learn from an SEC championship coach?

Quite a bit.

Here's a preview of our conversation with Coach Bruce Pearl.

Watch the full interview on our YouTube channel. Link in bio.",88,7/9/2026 8:22,https://www.instagram.com/reel/Dak7SEeDDaP/,IG reel,,Lifetime,1499,1209,49,6,2,0,6,Thursday,8:30:00 AM
TrilliumTrading,"A day in the life of a Trillium Trading Intern - no trending audio.

The day started at the New York Stock Exchange, where our interns experienced the Opening Bell before heading back to the office for mock trading, typing drills, and hands-on learning alongside our traders.

We wrapped up the day with a visit to Times Square to see Trillium featured on the Nasdaq Tower.

One day. Countless experiences.

#notrendingaudio #Internship #DayInTheLife #NYSE #Nasdaq",35,7/8/2026 8:58,https://www.instagram.com/reel/DaianjkOiQ1/,IG reel,,Lifetime,25051,20022,559,174,178,2,99,Wednesday,9:00:00 AM
TrilliumTrading,"There's no better way to kick off the summer than hearing from the person who started it all.

Our 2026 Trading Interns recently sat down with Trillium Founder and Owner, Lee Maschler, for a conversation on trading, leadership, and the mindset behind long-term success.

A meaningful start to the summer ahead.

#TrilliumTrading #Internship #Trading #Mentorship",0,7/7/2026 9:06,https://www.instagram.com/p/Daf2m1XlqvM/,IG carousel,,Lifetime,2292,979,68,4,1,2,10,Tuesday,9:00:00 AM
TrilliumTrading,"Building relationships from day one.

Our 2026 Trading Interns recently met their mentors, marking the start of relationships that will shape their summer on the trading desk.

Here's to a summer of learning, growth, and mentorship.

#TrilliumTrading #Internship #Trading #Mentorship",0,7/2/2026 9:06,https://www.instagram.com/p/DaS-pWaoEWP/,IG carousel,,Lifetime,25478,12172,669,213,285,0,200,Thursday,9:00:00 AM
TrilliumTrading,"Trillium Trading, live in Times Square.

Yesterday, we were featured on the @Nasdaq Tower, one of the most recognizable displays in the world.

A proud moment for our firm, our people, and the culture we continue to build.",0,7/1/2026 11:42,https://www.instagram.com/p/DaQr8WHEZiK/,IG carousel,,Lifetime,25510,10513,292,52,75,3,38,Wednesday,11:30:00 AM
TrilliumTrading,"Growing up, not everyone dreamed of becoming a trader.

So what changed?

We asked our 2026 Trading Interns what they wanted to be as kids, and how their path eventually led them to the trading floor.

Turns out, there isn’t just one path to trading.",37,6/30/2026 12:15,https://www.instagram.com/reel/DaOK1gHhkPi/,IG reel,,Lifetime,21472,17646,140,117,68,0,58,Tuesday,12:00:00 PM
TrilliumTrading,"Meet the 2026 Trading Interns. 

This summer, they’ll gain firsthand exposure to the markets, learn alongside our veteran traders, and begin building the foundation for their careers. 

We're excited to see what the summer brings.",0,6/25/2026 9:04,https://www.instagram.com/p/DaA828HFI9n/,IG carousel,,Lifetime,7915,3418,119,13,11,0,13,Thursday,9:00:00 AM
TrilliumTrading,"Screens off. Games on.

Our NYC team recently gathered at Slate for the 2026 Summer Shindig, trading the office for an evening of games, laughs, and friendly competition.

A great night with great people.

#TrilliumTrading #Culture #TeamTrillium",0,6/24/2026 9:37,https://www.instagram.com/p/DZ-cBwfEey2/,IG carousel,,Lifetime,2681,1169,51,7,1,1,3,Wednesday,9:30:00 AM
TrilliumTrading,"The countdown is on.

In just a few days, our 2026 Trading Interns will join us on the desk for a summer of learning, collaboration, and hands-on experience.

For now, we're getting the welcome kits ready.

See you soon, Class of 2026.

#TrilliumTrading #Internship #Trading #Finance",51,6/18/2026 12:01,https://www.instagram.com/reel/DZvPrz7iHqO/,IG reel,,Lifetime,1816,1528,36,3,1,0,1,Thursday,12:00:00 PM
