Instagram Post — Views per Time Interval,,,,,
"Post: ""Meet the 2026 Trading Interns"" (trilliumtrading) — published Thu Jun 25, 2026 12:04pm",,,,,
"Each row = views gained between interval start and end. Timestamps read directly from Meta Business Suite Views chart (as of Jul 13, 2026).",,,,,
,,,,,
Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Thu Jun 25 12:04 PM,Thu Jun 25 12:19 PM,0.2 hr,159,159,https://www.instagram.com/p/DaA828HFI9n/ 
Thu Jun 25 12:19 PM,Thu Jun 25 12:34 PM,0.3 hr,60,219,
Thu Jun 25 12:34 PM,Thu Jun 25 12:49 PM,0.3 hr,114,333,
Thu Jun 25 12:49 PM,Thu Jun 25 1:04 PM,0.2 hr,85,418,
Thu Jun 25 1:04 PM,Thu Jun 25 1:19 PM,0.3 hr,65,483,
Thu Jun 25 1:19 PM,Thu Jun 25 1:34 PM,0.3 hr,66,549,
Thu Jun 25 1:34 PM,Thu Jun 25 2:04 PM,0.5 hr,75,624,
Thu Jun 25 2:04 PM,Thu Jun 25 2:34 PM,0.5 hr,70,694,
Thu Jun 25 2:34 PM,Thu Jun 25 3:04 PM,0.5 hr,79,773,
Thu Jun 25 3:04 PM,Thu Jun 25 3:34 PM,0.5 hr,60,833,
Thu Jun 25 3:34 PM,Thu Jun 25 4:04 PM,0.5 hr,42,875,
Thu Jun 25 4:04 PM,Thu Jun 25 4:34 PM,0.5 hr,45,920,
Thu Jun 25 4:34 PM,Thu Jun 25 5:04 PM,0.5 hr,96,"1,016",
Thu Jun 25 5:04 PM,Thu Jun 25 5:34 PM,0.5 hr,110,"1,126",
Thu Jun 25 5:34 PM,Thu Jun 25 6:04 PM,0.5 hr,61,"1,187",
Thu Jun 25 6:04 PM,Thu Jun 25 6:34 PM,0.5 hr,118,"1,305",
Thu Jun 25 6:34 PM,Thu Jun 25 7:04 PM,0.5 hr,127,"1,432",
Thu Jun 25 7:04 PM,Thu Jun 25 7:34 PM,0.5 hr,134,"1,566",
Thu Jun 25 7:34 PM,Thu Jun 25 8:04 PM,0.5 hr,217,"1,783",
Thu Jun 25 8:04 PM,Thu Jun 25 8:34 PM,0.5 hr,300,"2,083",
Thu Jun 25 8:34 PM,Thu Jun 25 9:04 PM,0.5 hr,236,"2,319",
Thu Jun 25 9:04 PM,Thu Jun 25 9:34 PM,0.5 hr,261,"2,580",
Thu Jun 25 9:34 PM,Thu Jun 25 10:04 PM,0.5 hr,262,"2,842",
Thu Jun 25 10:04 PM,Thu Jun 25 10:34 PM,0.5 hr,186,"3,028",
Thu Jun 25 10:34 PM,Thu Jun 25 11:04 PM,0.5 hr,184,"3,212",
Thu Jun 25 11:04 PM,Thu Jun 25 11:34 PM,0.5 hr,133,"3,345",
Thu Jun 25 11:34 PM,Fri Jun 26 12:04 AM,0.5 hr,80,"3,425",
Fri Jun 26 12:04 AM,Fri Jun 26 1:04 AM,1.0 hr,123,"3,548",
Fri Jun 26 1:04 AM,Fri Jun 26 2:04 AM,1.0 hr,35,"3,583",
Fri Jun 26 2:04 AM,Fri Jun 26 3:04 AM,1.0 hr,48,"3,631",
Fri Jun 26 3:04 AM,Fri Jun 26 4:04 AM,1.0 hr,56,"3,687",
Fri Jun 26 4:04 AM,Fri Jun 26 5:04 AM,1.0 hr,42,"3,729",
Fri Jun 26 5:04 AM,Fri Jun 26 6:04 AM,1.0 hr,53,"3,782",
Fri Jun 26 6:04 AM,Fri Jun 26 7:04 AM,1.0 hr,56,"3,838",
Fri Jun 26 7:04 AM,Fri Jun 26 8:04 AM,1.0 hr,72,"3,910",
Fri Jun 26 8:04 AM,Fri Jun 26 9:04 AM,1.0 hr,72,"3,982",
Fri Jun 26 9:04 AM,Fri Jun 26 10:04 AM,1.0 hr,61,"4,043",
Fri Jun 26 10:04 AM,Fri Jun 26 11:04 AM,1.0 hr,66,"4,109",
Fri Jun 26 11:04 AM,Fri Jun 26 12:04 PM,1.0 hr,78,"4,187",
Fri Jun 26 12:04 PM,Fri Jun 26 3:04 PM,3.0 hr,101,"4,288",
Fri Jun 26 3:04 PM,Fri Jun 26 6:04 PM,3.0 hr,94,"4,382",
Fri Jun 26 6:04 PM,Fri Jun 26 9:04 PM,3.0 hr,131,"4,513",
Fri Jun 26 9:04 PM,Sat Jun 27 12:04 AM,3.0 hr,85,"4,598",
Sat Jun 27 12:04 AM,Sat Jun 27 3:04 AM,3.0 hr,36,"4,634",
Sat Jun 27 3:04 AM,Sat Jun 27 6:04 AM,3.0 hr,8,"4,642",
Sat Jun 27 6:04 AM,Sat Jun 27 9:04 AM,3.0 hr,15,"4,657",
Sat Jun 27 9:04 AM,Sat Jun 27 12:04 PM,3.0 hr,37,"4,694",
Sat Jun 27 12:04 PM,Sat Jun 27 6:04 PM,6.0 hr,58,"4,752",
Sat Jun 27 6:04 PM,Sun Jun 28 12:04 AM,6.0 hr,63,"4,815",
Sun Jun 28 12:04 AM,Sun Jun 28 6:04 AM,6.0 hr,30,"4,845",
Sun Jun 28 6:04 AM,Sun Jun 28 12:04 PM,6.0 hr,33,"4,878",
Sun Jun 28 12:04 PM,Sun Jun 28 6:04 PM,6.0 hr,23,"4,901",
Sun Jun 28 6:04 PM,Mon Jun 29 12:04 AM,6.0 hr,21,"4,922",
Mon Jun 29 12:04 AM,Mon Jun 29 6:04 AM,6.0 hr,14,"4,936",
Mon Jun 29 6:04 AM,Mon Jun 29 12:04 PM,6.0 hr,10,"4,946",
Mon Jun 29 12:04 PM,Tue Jun 30 12:04 AM,12.0 hr,37,"4,983",
Tue Jun 30 12:04 AM,Tue Jun 30 12:04 PM,12.0 hr,105,"5,088",
Tue Jun 30 12:04 PM,Wed Jul 1 12:04 AM,12.0 hr,269,"5,357",
Wed Jul 1 12:04 AM,Wed Jul 1 12:04 PM,12.0 hr,294,"5,651",
Wed Jul 1 12:04 PM,Thu Jul 2 12:04 AM,12.0 hr,259,"5,910",
Thu Jul 2 12:04 AM,Thu Jul 2 12:04 PM,12.0 hr,81,"5,991",
Thu Jul 2 12:04 PM,Fri Jul 3 12:04 PM,24.0 hr,259,"6,250",
Fri Jul 3 12:04 PM,Sat Jul 4 12:04 PM,24.0 hr,201,"6,451",
Sat Jul 4 12:04 PM,Sun Jul 5 12:04 PM,24.0 hr,138,"6,589",
Sun Jul 5 12:04 PM,Mon Jul 6 12:04 PM,24.0 hr,90,"6,679",
Mon Jul 6 12:04 PM,Tue Jul 7 12:04 PM,24.0 hr,253,"6,932",
Tue Jul 7 12:04 PM,Wed Jul 8 12:04 PM,24.0 hr,293,"7,225",
Wed Jul 8 12:04 PM,Thu Jul 9 12:04 PM,24.0 hr,418,"7,643",
Thu Jul 9 12:04 PM,Fri Jul 10 12:04 PM,24.0 hr,243,"7,886",
Fri Jul 10 12:04 PM,Sat Jul 11 12:04 PM,24.0 hr,190,"8,076",
Sat Jul 11 12:04 PM,Sun Jul 12 12:04 PM,24.0 hr,144,"8,220",
Sun Jul 12 12:04 PM,Mon Jul 13 12:04 PM,24.0 hr,196,"8,416",
Mon Jul 13 12:04 PM,Tue Jul 14 12:04 PM,24.0 hr,159,"8,575",
