Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Thu Jun 25 12:04 PM,Thu Jun 25 12:19 PM,0.2 hr,159,159,https://www.instagram.com/p/DaA828HFI9n/ 
Thu Jun 25 12:19 PM,Thu Jun 25 12:34 PM,0.3 hr,60,219,
Thu Jun 25 12:34 PM,Thu Jun 25 12:49 PM,0.3 hr,114,333,
Thu Jun 25 12:49 PM,Thu Jun 25 1:04 PM,0.2 hr,85,418,
Thu Jun 25 1:04 PM,Thu Jun 25 1:19 PM,0.3 hr,65,483,
Thu Jun 25 1:19 PM,Thu Jun 25 1:34 PM,0.3 hr,66,549,
Thu Jun 25 1:34 PM,Thu Jun 25 2:04 PM,0.5 hr,75,624,
Thu Jun 25 2:04 PM,Thu Jun 25 2:34 PM,0.5 hr,70,694,
Thu Jun 25 2:34 PM,Thu Jun 25 3:04 PM,0.5 hr,79,773,
Thu Jun 25 3:04 PM,Thu Jun 25 3:34 PM,0.5 hr,60,833,
Thu Jun 25 3:34 PM,Thu Jun 25 4:04 PM,0.5 hr,42,875,
Thu Jun 25 4:04 PM,Thu Jun 25 4:34 PM,0.5 hr,45,920,
Thu Jun 25 4:34 PM,Thu Jun 25 5:04 PM,0.5 hr,96,1016,
Thu Jun 25 5:04 PM,Thu Jun 25 5:34 PM,0.5 hr,110,1126,
Thu Jun 25 5:34 PM,Thu Jun 25 6:04 PM,0.5 hr,61,1187,
Thu Jun 25 6:04 PM,Thu Jun 25 6:34 PM,0.5 hr,118,1305,
Thu Jun 25 6:34 PM,Thu Jun 25 7:04 PM,0.5 hr,127,1432,
Thu Jun 25 7:04 PM,Thu Jun 25 7:34 PM,0.5 hr,134,1566,
Thu Jun 25 7:34 PM,Thu Jun 25 8:04 PM,0.5 hr,217,1783,
Thu Jun 25 8:04 PM,Thu Jun 25 8:34 PM,0.5 hr,300,2083,
Thu Jun 25 8:34 PM,Thu Jun 25 9:04 PM,0.5 hr,236,2319,
Thu Jun 25 9:04 PM,Thu Jun 25 9:34 PM,0.5 hr,261,2580,
Thu Jun 25 9:34 PM,Thu Jun 25 10:04 PM,0.5 hr,262,2842,
Thu Jun 25 10:04 PM,Thu Jun 25 10:34 PM,0.5 hr,186,3028,
Thu Jun 25 10:34 PM,Thu Jun 25 11:04 PM,0.5 hr,184,3212,
Thu Jun 25 11:04 PM,Thu Jun 25 11:34 PM,0.5 hr,133,3345,
Thu Jun 25 11:34 PM,Fri Jun 26 12:04 AM,0.5 hr,80,3425,
Fri Jun 26 12:04 AM,Fri Jun 26 1:04 AM,1.0 hr,123,3548,
Fri Jun 26 1:04 AM,Fri Jun 26 2:04 AM,1.0 hr,35,3583,
Fri Jun 26 2:04 AM,Fri Jun 26 3:04 AM,1.0 hr,48,3631,
Fri Jun 26 3:04 AM,Fri Jun 26 4:04 AM,1.0 hr,56,3687,
Fri Jun 26 4:04 AM,Fri Jun 26 5:04 AM,1.0 hr,42,3729,
Fri Jun 26 5:04 AM,Fri Jun 26 6:04 AM,1.0 hr,53,3782,
Fri Jun 26 6:04 AM,Fri Jun 26 7:04 AM,1.0 hr,56,3838,
Fri Jun 26 7:04 AM,Fri Jun 26 8:04 AM,1.0 hr,72,3910,
Fri Jun 26 8:04 AM,Fri Jun 26 9:04 AM,1.0 hr,72,3982,
Fri Jun 26 9:04 AM,Fri Jun 26 10:04 AM,1.0 hr,61,4043,
Fri Jun 26 10:04 AM,Fri Jun 26 11:04 AM,1.0 hr,66,4109,
Fri Jun 26 11:04 AM,Fri Jun 26 12:04 PM,1.0 hr,78,4187,
Fri Jun 26 12:04 PM,Fri Jun 26 3:04 PM,3.0 hr,101,4288,
Fri Jun 26 3:04 PM,Fri Jun 26 6:04 PM,3.0 hr,94,4382,
Fri Jun 26 6:04 PM,Fri Jun 26 9:04 PM,3.0 hr,131,4513,
Fri Jun 26 9:04 PM,Sat Jun 27 12:04 AM,3.0 hr,85,4598,
Sat Jun 27 12:04 AM,Sat Jun 27 3:04 AM,3.0 hr,36,4634,
Sat Jun 27 3:04 AM,Sat Jun 27 6:04 AM,3.0 hr,8,4642,
Sat Jun 27 6:04 AM,Sat Jun 27 9:04 AM,3.0 hr,15,4657,
Sat Jun 27 9:04 AM,Sat Jun 27 12:04 PM,3.0 hr,37,4694,
Sat Jun 27 12:04 PM,Sat Jun 27 6:04 PM,6.0 hr,58,4752,
Sat Jun 27 6:04 PM,Sun Jun 28 12:04 AM,6.0 hr,63,4815,
Sun Jun 28 12:04 AM,Sun Jun 28 6:04 AM,6.0 hr,30,4845,
Sun Jun 28 6:04 AM,Sun Jun 28 12:04 PM,6.0 hr,33,4878,
Sun Jun 28 12:04 PM,Sun Jun 28 6:04 PM,6.0 hr,23,4901,
Sun Jun 28 6:04 PM,Mon Jun 29 12:04 AM,6.0 hr,21,4922,
Mon Jun 29 12:04 AM,Mon Jun 29 6:04 AM,6.0 hr,14,4936,
Mon Jun 29 6:04 AM,Mon Jun 29 12:04 PM,6.0 hr,10,4946,
Mon Jun 29 12:04 PM,Tue Jun 30 12:04 AM,12.0 hr,37,4983,
Tue Jun 30 12:04 AM,Tue Jun 30 12:04 PM,12.0 hr,105,5088,
Tue Jun 30 12:04 PM,Wed Jul 1 12:04 AM,12.0 hr,269,5357,
Wed Jul 1 12:04 AM,Wed Jul 1 12:04 PM,12.0 hr,294,5651,
Wed Jul 1 12:04 PM,Thu Jul 2 12:04 AM,12.0 hr,259,5910,
Thu Jul 2 12:04 AM,Thu Jul 2 12:04 PM,12.0 hr,81,5991,
Thu Jul 2 12:04 PM,Fri Jul 3 12:04 PM,24.0 hr,259,6250,
Fri Jul 3 12:04 PM,Sat Jul 4 12:04 PM,24.0 hr,201,6451,
Sat Jul 4 12:04 PM,Sun Jul 5 12:04 PM,24.0 hr,138,6589,
Sun Jul 5 12:04 PM,Mon Jul 6 12:04 PM,24.0 hr,90,6679,
Mon Jul 6 12:04 PM,Tue Jul 7 12:04 PM,24.0 hr,253,6932,
Tue Jul 7 12:04 PM,Wed Jul 8 12:04 PM,24.0 hr,293,7225,
Wed Jul 8 12:04 PM,Thu Jul 9 12:04 PM,24.0 hr,418,7643,
Thu Jul 9 12:04 PM,Fri Jul 10 12:04 PM,24.0 hr,243,7886,
Fri Jul 10 12:04 PM,Sat Jul 11 12:04 PM,24.0 hr,190,8076,
Sat Jul 11 12:04 PM,Sun Jul 12 12:04 PM,24.0 hr,144,8220,
