4. Building relationships (Carousel),,,,,
"Published Thu Jul 02, 2026 12:06PM | data as of Jul 12 (boosted; likely understated now)",,,,,
,,,,,
Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Thu Jul 2 12:06 PM,Thu Jul 2 12:21 PM,0.2 hr,139,139,https://www.instagram.com/p/DaS-pWaoEWP/
Thu Jul 2 12:21 PM,Thu Jul 2 12:36 PM,0.3 hr,119,258,
Thu Jul 2 12:36 PM,Thu Jul 2 12:51 PM,0.3 hr,66,324,
Thu Jul 2 12:51 PM,Thu Jul 2 1:06 PM,0.2 hr,101,425,
Thu Jul 2 1:06 PM,Thu Jul 2 1:21 PM,0.3 hr,60,485,
Thu Jul 2 1:21 PM,Thu Jul 2 1:36 PM,0.3 hr,63,548,
Thu Jul 2 1:36 PM,Thu Jul 2 2:06 PM,0.5 hr,101,649,
Thu Jul 2 2:06 PM,Thu Jul 2 2:36 PM,0.5 hr,163,812,
Thu Jul 2 2:36 PM,Thu Jul 2 3:06 PM,0.5 hr,81,893,
Thu Jul 2 3:06 PM,Thu Jul 2 3:36 PM,0.5 hr,108,"1,001",
Thu Jul 2 3:36 PM,Thu Jul 2 4:06 PM,0.5 hr,64,"1,065",
Thu Jul 2 4:06 PM,Thu Jul 2 4:36 PM,0.5 hr,78,"1,143",
Thu Jul 2 4:36 PM,Thu Jul 2 5:06 PM,0.5 hr,65,"1,208",
Thu Jul 2 5:06 PM,Thu Jul 2 5:36 PM,0.5 hr,57,"1,265",
Thu Jul 2 5:36 PM,Thu Jul 2 6:06 PM,0.5 hr,69,"1,334",
Thu Jul 2 6:06 PM,Thu Jul 2 6:36 PM,0.5 hr,31,"1,365",
Thu Jul 2 6:36 PM,Thu Jul 2 7:06 PM,0.5 hr,52,"1,417",
Thu Jul 2 7:06 PM,Thu Jul 2 7:36 PM,0.5 hr,64,"1,481",
Thu Jul 2 7:36 PM,Thu Jul 2 8:06 PM,0.5 hr,84,"1,565",
Thu Jul 2 8:06 PM,Thu Jul 2 8:36 PM,0.5 hr,84,"1,649",
Thu Jul 2 8:36 PM,Thu Jul 2 9:06 PM,0.5 hr,105,"1,754",
Thu Jul 2 9:06 PM,Thu Jul 2 9:36 PM,0.5 hr,115,"1,869",
