Interval Start,Interval End,Interval Length,Views in Interval,Cumulative Views,Link
Wed Jul 1 2:42 PM,Wed Jul 1 2:57 PM,0.3 hr,347,347,https://www.instagram.com/p/DaQr8WHEZiK/
Wed Jul 1 2:57 PM,Wed Jul 1 3:12 PM,0.2 hr,275,622,
Wed Jul 1 3:12 PM,Wed Jul 1 3:27 PM,0.3 hr,232,854,
Wed Jul 1 3:27 PM,Wed Jul 1 3:42 PM,0.3 hr,191,"1,045",
Wed Jul 1 3:42 PM,Wed Jul 1 3:57 PM,0.2 hr,221,"1,266",
Wed Jul 1 3:57 PM,Wed Jul 1 4:12 PM,0.3 hr,135,"1,401",
Wed Jul 1 4:12 PM,Wed Jul 1 4:42 PM,0.5 hr,166,"1,567",
Wed Jul 1 4:42 PM,Wed Jul 1 5:12 PM,0.5 hr,162,"1,729",
Wed Jul 1 5:12 PM,Wed Jul 1 5:42 PM,0.5 hr,181,"1,910",
Wed Jul 1 5:42 PM,Wed Jul 1 6:12 PM,0.5 hr,326,"2,236",
Wed Jul 1 6:12 PM,Wed Jul 1 6:42 PM,0.5 hr,361,"2,597",
Wed Jul 1 6:42 PM,Wed Jul 1 7:12 PM,0.5 hr,269,"2,866",
Wed Jul 1 7:12 PM,Wed Jul 1 7:42 PM,0.5 hr,292,"3,158",
Wed Jul 1 7:42 PM,Wed Jul 1 8:12 PM,0.5 hr,314,"3,472",
Wed Jul 1 8:12 PM,Wed Jul 1 8:42 PM,0.5 hr,284,"3,756",
Wed Jul 1 8:42 PM,Wed Jul 1 9:12 PM,0.5 hr,343,"4,099",
Wed Jul 1 9:12 PM,Wed Jul 1 9:42 PM,0.5 hr,450,"4,549",
Wed Jul 1 9:42 PM,Wed Jul 1 10:12 PM,0.5 hr,276,"4,825",
Wed Jul 1 10:12 PM,Wed Jul 1 10:42 PM,0.5 hr,270,"5,095",
Wed Jul 1 10:42 PM,Wed Jul 1 11:12 PM,0.5 hr,189,"5,284",
Wed Jul 1 11:12 PM,Wed Jul 1 11:42 PM,0.5 hr,116,"5,400",
Wed Jul 1 11:42 PM,Thu Jul 2 12:12 AM,0.5 hr,122,"5,522",
Thu Jul 2 12:12 AM,Thu Jul 2 12:42 AM,0.5 hr,130,"5,652",
Thu Jul 2 12:42 AM,Thu Jul 2 1:12 AM,0.5 hr,124,"5,776",
Thu Jul 2 1:12 AM,Thu Jul 2 1:42 AM,0.5 hr,146,"5,922",
Thu Jul 2 1:42 AM,Thu Jul 2 2:12 AM,0.5 hr,102,"6,024",
Thu Jul 2 2:12 AM,Thu Jul 2 2:42 AM,0.5 hr,187,"6,211",
Thu Jul 2 2:42 AM,Thu Jul 2 3:42 AM,1.0 hr,444,"6,655",
Thu Jul 2 3:42 AM,Thu Jul 2 4:42 AM,1.0 hr,246,"6,901",
Thu Jul 2 4:42 AM,Thu Jul 2 5:42 AM,1.0 hr,228,"7,129",
Thu Jul 2 5:42 AM,Thu Jul 2 6:42 AM,1.0 hr,194,"7,323",
Thu Jul 2 6:42 AM,Thu Jul 2 7:42 AM,1.0 hr,158,"7,481",
Thu Jul 2 7:42 AM,Thu Jul 2 8:42 AM,1.0 hr,161,"7,642",
Thu Jul 2 8:42 AM,Thu Jul 2 9:42 AM,1.0 hr,188,"7,830",
Thu Jul 2 9:42 AM,Thu Jul 2 10:42 AM,1.0 hr,194,"8,024",
Thu Jul 2 10:42 AM,Thu Jul 2 11:42 AM,1.0 hr,209,"8,233",
Thu Jul 2 11:42 AM,Thu Jul 2 12:42 PM,1.0 hr,317,"8,550",
Thu Jul 2 12:42 PM,Thu Jul 2 1:42 PM,1.0 hr,306,"8,856",
Thu Jul 2 1:42 PM,Thu Jul 2 2:42 PM,1.0 hr,299,"9,155",
Thu Jul 2 2:42 PM,Thu Jul 2 5:42 PM,3.0 hr,694,"9,849",
Thu Jul 2 5:42 PM,Thu Jul 2 8:42 PM,3.0 hr,936,"10,785",
Thu Jul 2 8:42 PM,Thu Jul 2 11:42 PM,3.0 hr,713,"11,498",
Thu Jul 2 11:42 PM,Fri Jul 3 2:42 AM,3.0 hr,565,"12,063",
Fri Jul 3 2:42 AM,Fri Jul 3 5:42 AM,3.0 hr,344,"12,407",
Fri Jul 3 5:42 AM,Fri Jul 3 8:42 AM,3.0 hr,204,"12,611",
Fri Jul 3 8:42 AM,Fri Jul 3 11:42 AM,3.0 hr,440,"13,051",
Fri Jul 3 11:42 AM,Fri Jul 3 2:42 PM,3.0 hr,683,"13,734",
Fri Jul 3 2:42 PM,Fri Jul 3 8:42 PM,6.0 hr,"1,459","15,193",
Fri Jul 3 8:42 PM,Sat Jul 4 2:42 AM,6.0 hr,"1,143","16,336",
Sat Jul 4 2:42 AM,Sat Jul 4 8:42 AM,6.0 hr,783,"17,119",
Sat Jul 4 8:42 AM,Sat Jul 4 2:42 PM,6.0 hr,"1,058","18,177",
Sat Jul 4 2:42 PM,Sat Jul 4 8:42 PM,6.0 hr,"1,404","19,581",
Sat Jul 4 8:42 PM,Sun Jul 5 2:42 AM,6.0 hr,"1,353","20,934",
Sun Jul 5 2:42 AM,Sun Jul 5 8:42 AM,6.0 hr,648,"21,582",
Sun Jul 5 8:42 AM,Sun Jul 5 2:42 PM,6.0 hr,"1,038","22,620",
Sun Jul 5 2:42 PM,Mon Jul 6 2:42 AM,12.0 hr,"2,574","25,194",
Mon Jul 6 2:42 AM,Mon Jul 6 2:42 PM,12.0 hr,"1,646","26,840",
Mon Jul 6 2:42 PM,Tue Jul 7 2:42 AM,12.0 hr,209,"27,049",
Tue Jul 7 2:42 AM,Tue Jul 7 2:42 PM,12.0 hr,212,"27,261",
Tue Jul 7 2:42 PM,Wed Jul 8 2:42 AM,12.0 hr,261,"27,522",
Wed Jul 8 2:42 AM,Wed Jul 8 2:42 PM,12.0 hr,165,"27,687",
Wed Jul 8 2:42 PM,Thu Jul 9 2:42 PM,24.0 hr,541,"28,228",
Thu Jul 9 2:42 PM,Fri Jul 10 2:42 PM,24.0 hr,596,"28,824",
Fri Jul 10 2:42 PM,Sat Jul 11 2:42 PM,24.0 hr,416,"29,240",
Sat Jul 11 2:42 PM,Sun Jul 12 2:42 PM,24.0 hr,356,"29,596",
Sun Jul 12 2:42 PM,Mon Jul 13 2:42 PM,24.0 hr,345,"29,941",
Mon Jul 13 2:42 PM,Tue Jul 14 2:42 PM,24.0 hr,322,"30,263",
